Table,Description,,,
phage,contains information pertaining to the entire phage genome (ie.g. genome sequence, host strain, etc.),
gene,contains information pertaining to individual CDS features (e.g. coordinates, orientation, gene product, etc.)
gene_domain,associates conserved domains with specific CDS features,,,
domain,information about NCBI-defined conserved domains,,,
pham,associates CDS features with phams,,,
pham_color,associates colors with phams,,,
version,tracks the development of the database,,,
trna,contains information pertaining to individual tRNA features,,,
trna_structures,contains information pertaining to tRNA structures,,,
tmrna,contains information pertaining to individual tmRNA features,,,
